design,number of wings ,tail length,wing length,drop number,start time,end time,fall time
43,4,81,135,1,0.01,2.54,2.53
43,4,81,135,2,0.64,3.19,2.55
43,4,81,135,3,0.23,2.78,2.55
44,4,54,54,1,0.43,1.61,1.18
44,4,54,54,2,9.15,10.37,1.22
44,4,54,54,3,16.2,17.45,1.25
45,4,135,81,1,0.91,2.61,1.7
45,4,135,81,2,9.09,10.82,1.73
45,4,135,81,3,16.61,18.32,1.71
46,4,135,54,1,0.85,1.94,1.09
46,4,135,54,2,7.97,9.18,1.21
46,4,135,54,3,23.93,25.08,1.15
47,4,81,54,1,10.14,11.38,1.24
47,4,81,54,2,18.9,20.08,1.18
47,4,81,54,3,30.04,31.35,1.31
48,4,81,81,1,0.81,2.44,1.63
48,4,81,81,2,0.78,2.58,1.8
48,4,81,81,3,0.76,2.26,1.5
49,4,108,54,1,1.22,2.65,1.43
49,4,108,54,2,1.85,3.4,1.55
49,4,108,54,3,0.64,1.98,1.34
50,4,135,27,1,0.84,1.9,1.06
50,4,135,27,2,0.65,1.91,1.26
50,4,135,27,3,0.27,1.26,0.99
